Super,4,961,91,291,120
Super,0,1648,708,32,160
Super,4,1760,148,32,224
Super,4,963,1075,1920,32
Super,4,16,530,32,1056
Super,4,1902,531,32,1056
Super,4,959,18,1856,32
Shroom,3,305,816,160,16
Shroom,1,1223,592,128,16
Super,0,140,508,48,112
Super,1,358,456,192,16
Super,2,1100,288,240,32
Super,3,735,483,32,256
Super,0,1525,416,128,128
Super,2,853,946,256,32
Shroom,2,920,720,80,16
Shroom,3,331,208,144,16
Super,0,1424,837,32,128
Shroom,1,535,624,48,16
Super,3,329,697,80,48
Super,3,683,760,112,16
Super,3,1156,838,64,16
Super,3,1776,471,32,16
Super,0,628,232,128,16
Coin,0,1531,163,32,32
Coin,0,324,122,32,32
Coin,0,361,339,32,32
Coin,0,748,316,32,32
Coin,0,968,504,32,32
Coin,0,1432,733,32,32
Coin,0,321,769,32,32
Coin,0,849,887,32,32
Coin,0,1836,97,32,32
